,Date,Close-Last,Volume,Open,High,Low
0,11-08-2022,186.57,441859,187.26,187.98,185.94
1,10-08-2022,186.6,667469,185.28,187.27,185.04
2,09-08-2022,183.17,449929,182.39,183.5,182.01
3,08-08-2022,182.85,343781,182.09,183.96,181.75
4,05-08-2022,182.07,487097,181.51,182.81,180.42
5,04-08-2022,182.79,653769,180.73,183.12,180.65
6,03-08-2022,180.17,620148,179.08,180.72,178.38
7,02-08-2022,178.69,667811,178.17,179.71,177.19
8,01-08-2022,178.86,634200,179.28,180.8,178.29
9,29-07-2022,180.9,752576,179.17,181.34,178.68
10,28-07-2022,179.42,1076430,174.41,180.26,173.92
11,27-07-2022,173.99,848036,173.98,175.0,172.82
12,26-07-2022,173.01,1107081,170.88,173.27,170.0
13,25-07-2022,172.0,994844,172.74,173.99,170.78
14,22-07-2022,172.6,1382953,174.07,174.9,171.48
15,21-07-2022,174.0,1239982,169.6,174.05,168.43
16,20-07-2022,169.04,1643956,162.53,169.99,162.5
17,19-07-2022,159.32,735680,156.47,159.85,155.95
18,18-07-2022,154.78,687121,157.76,158.46,154.29
19,15-07-2022,157.07,643022,154.3,157.09,154.3
20,14-07-2022,153.52,629173,152.32,154.01,151.54
21,13-07-2022,154.34,531413,152.37,155.26,152.32
22,12-07-2022,154.77,1194493,157.78,159.97,154.32
23,11-07-2022,157.63,660606,156.03,158.3,155.42
24,08-07-2022,156.56,701905,156.46,157.48,155.38
25,07-07-2022,156.7,719604,156.52,157.9,155.79
26,06-07-2022,156.79,911241,158.21,159.92,156.49
27,05-07-2022,157.49,803043,155.01,157.74,153.6
28,01-07-2022,155.59,882281,152.31,156.13,151.99
29,30-06-2022,152.54,785966,151.55,154.04,150.99
30,29-06-2022,153.06,774094,154.55,155.02,151.89
31,28-06-2022,154.66,644371,157.93,159.34,154.56
32,27-06-2022,157.93,749059,159.81,159.97,157.51
33,24-06-2022,159.28,1588053,159.12,160.0,157.83
34,23-06-2022,158.26,1538917,154.73,158.63,154.24
35,22-06-2022,153.61,932803,151.4,154.97,150.0
36,21-06-2022,152.63,1058715,150.0,153.56,150.0
37,17-06-2022,148.85,2347718,148.42,150.57,147.6
38,16-06-2022,148.55,1177098,147.93,149.34,146.26
39,15-06-2022,149.92,1053836,146.33,151.61,146.24
40,14-06-2022,145.87,1595863,147.15,147.22,144.18
41,13-06-2022,146.86,1232258,146.76,148.44,144.87
42,10-06-2022,150.19,1240794,151.31,151.91,148.75
43,09-06-2022,152.75,806605,153.24,154.72,152.51
44,08-06-2022,153.91,725069,154.19,156.32,153.31
45,07-06-2022,154.76,556134,152.86,154.8,152.39
46,06-06-2022,154.11,676090,155.23,156.74,153.56
47,03-06-2022,154.07,582699,154.1,154.48,152.73
48,02-06-2022,154.81,891468,152.61,154.82,151.41
49,01-06-2022,152.27,582028,155.44,156.39,152.18
50,31-05-2022,155.26,1636256,154.29,156.37,153.98
51,27-05-2022,155.64,930050,152.52,155.69,151.18
52,26-05-2022,150.93,790243,148.21,151.55,147.51
53,25-05-2022,147.5,879871,146.22,148.39,145.7
54,24-05-2022,146.63,779609,146.43,147.27,144.1
55,23-05-2022,147.71,828208,147.45,148.44,145.72
56,20-05-2022,146.13,1985594,144.26,146.34,143.54
57,19-05-2022,143.08,1105108,140.9,143.77,140.31
58,18-05-2022,142.09,722190,147.86,147.86,141.63
59,17-05-2022,148.79,967512,148.64,149.26,147.33
60,16-05-2022,146.13,651595,147.3,147.68,145.51
61,13-05-2022,147.49,855264,145.27,148.52,145.27
62,12-05-2022,144.33,788146,142.6,145.27,141.22
63,11-05-2022,143.23,999396,145.04,147.34,143.13
64,10-05-2022,145.78,1121841,148.58,149.87,144.21
65,09-05-2022,146.18,736437,150.59,150.65,145.7
66,06-05-2022,152.29,675122,153.92,154.22,150.57
67,05-05-2022,154.9,851539,158.84,159.78,153.54
68,04-05-2022,160.1,1454291,157.8,160.4,156.35
69,03-05-2022,157.84,772902,156.16,158.83,156.1
70,02-05-2022,156.69,921605,157.25,158.78,153.34
71,29-04-2022,157.37,926035,161.73,162.08,157.06
72,28-04-2022,162.55,1340544,160.61,163.24,159.43
73,27-04-2022,160.05,2080497,161.33,163.44,159.85
74,26-04-2022,161.67,899987,166.6,167.08,161.6
75,25-04-2022,166.64,1177848,166.01,167.39,164.7
76,22-04-2022,166.85,830410,169.19,170.18,166.76
77,21-04-2022,169.44,1041312,173.11,173.62,168.7
78,20-04-2022,172.81,1261281,179.5,179.5,171.73
79,19-04-2022,181.04,630569,177.79,181.2,177.79
80,18-04-2022,178.34,453449,177.53,178.84,176.65
81,14-04-2022,178.55,426551,181.71,182.37,178.43
82,13-04-2022,181.39,396769,180.48,181.8,179.0
83,12-04-2022,180.06,668253,183.1,184.29,179.2
84,11-04-2022,182.33,818394,182.38,183.23,179.19
