Date,Close-Last,Volume,Open,High,Low,,,
08-11-2022,186.57 ,441859,187.26 ,187.98 ,185.94 ,,,
08-10-2022,186.60 ,667469,185.28 ,187.27 ,185.04 ,,,
08-09-2022,183.17 ,449929,182.39 ,183.50 ,182.01 ,,,
08-08-2022,182.85 ,343781,182.09 ,183.96 ,181.75 ,,,
08-05-2022,182.07 ,487097,181.51 ,182.81 ,180.42 ,,,
08-04-2022,182.79 ,653769,180.73 ,183.12 ,180.65 ,,,
08-03-2022,180.17 ,620148,179.08 ,180.72 ,178.38 ,,,
08-02-2022,178.69 ,667811,178.17 ,179.71 ,177.19 ,,,
08-01-2022,178.86 ,634200,179.28 ,180.80 ,178.29 ,,,
07-29-2022,180.90 ,752576,179.17 ,181.34 ,178.68 ,,,
07-28-2022,179.42 ,1076430,174.41 ,180.26 ,173.92 ,,,
07-27-2022,173.99 ,848036,173.98 ,175.00 ,172.82 ,,,
07-26-2022,173.01 ,1107081,170.88 ,173.27 ,170.00 ,,,
07-25-2022,172.00 ,994844,172.74 ,173.99 ,170.78 ,,,
07-22-2022,172.60 ,1382953,174.07 ,174.90 ,171.48 ,,,
07-21-2022,174.00 ,1239982,169.60 ,174.05 ,168.43 ,,,
07-20-2022,169.04 ,1643956,162.53 ,169.99 ,162.50 ,,,
07-19-2022,159.32 ,735680,156.47 ,159.85 ,155.95 ,,,
07-18-2022,154.78 ,687121,157.76 ,158.46 ,154.29 ,,,
07-15-2022,157.07 ,643022,154.30 ,157.09 ,154.30 ,,,
07-14-2022,153.52 ,629173,152.32 ,154.01 ,151.54 ,,,
07-13-2022,154.34 ,531413,152.37 ,155.26 ,152.32 ,,,
07-12-2022,154.77 ,1194493,157.78 ,159.97 ,154.32 ,,,
07-11-2022,157.63 ,660606,156.03 ,158.30 ,155.42 ,,,
07-08-2022,156.56 ,701905,156.46 ,157.48 ,155.38 ,,,
07-07-2022,156.70 ,719604,156.52 ,157.90 ,155.79 ,,,
07-06-2022,156.79 ,911241,158.21 ,159.92 ,156.49 ,,,
07-05-2022,157.49 ,803043,155.01 ,157.74 ,153.60 ,,,
07-01-2022,155.59 ,882281,152.31 ,156.13 ,151.99 ,,,
06-30-2022,152.54 ,785966,151.55 ,154.04 ,150.99 ,,,
06-29-2022,153.06 ,774094,154.55 ,155.02 ,151.89 ,,,
06-28-2022,154.66 ,644371,157.93 ,159.34 ,154.56 ,,,
06-27-2022,157.93 ,749059,159.81 ,159.97 ,157.51 ,,,
06-24-2022,159.28 ,1588053,159.12 ,160.00 ,157.83 ,,,
06-23-2022,158.26 ,1538917,154.73 ,158.63 ,154.24 ,,,
06-22-2022,153.61 ,932803,151.40 ,154.97 ,150.00 ,,,
06-21-2022,152.63 ,1058715,150.00 ,153.56 ,150.00 ,,,
06-17-2022,148.85 ,2347718,148.42 ,150.57 ,147.60 ,,,
06-16-2022,148.55 ,1177098,147.93 ,149.34 ,146.26 ,,,
06-15-2022,149.92 ,1053836,146.33 ,151.61 ,146.24 ,,,
06-14-2022,145.87 ,1595863,147.15 ,147.22 ,144.18 ,,,
06-13-2022,146.86 ,1232258,146.76 ,148.44 ,144.87 ,,,
06-10-2022,150.19 ,1240794,151.31 ,151.91 ,148.75 ,,,
06-09-2022,152.75 ,806605,153.24 ,154.72 ,152.51 ,,,
06-08-2022,153.91 ,725069,154.19 ,156.32 ,153.31 ,,,
06-07-2022,154.76 ,556134,152.86 ,154.80 ,152.39 ,,,
06-06-2022,154.11 ,676090,155.23 ,156.74 ,153.56 ,,,
06-03-2022,154.07 ,582699,154.10 ,154.48 ,152.73 ,,,
06-02-2022,154.81 ,891468,152.61 ,154.82 ,151.41 ,,,
06-01-2022,152.27 ,582028,155.44 ,156.39 ,152.18 ,,,
